Question,Type,Option1,Option2,Option3,Option4,CorrectAnswer
What is 5 + 7?,MCQ,10,11,12,13,12
What is the square root of 81?,MCQ,7,8,9,10,9
How many sides does a hexagon have?,MCQ,5,6,7,8,6
What is 15% of 200?,MCQ,30,25,35,40,30
What is 9 * 8?,MCQ,72,81,64,70,72
Solve: 4 + 3 * 2,MCQ,10,14,8,13,10
What is the value of pi (approx)?,MCQ,3.12,3.14,3.16,3.18,3.14
Which is a prime number?,MCQ,15,18,17,20,17
What is the cube of 3?,MCQ,6,9,27,12,27
What is 100 divided by 25?,MCQ,4,5,3,6,4
Who was the first President of the USA?,MCQ,George Washington,Abraham Lincoln,John Adams,Thomas Jefferson,George Washington
In which year did World War II end?,MCQ,1942,1943,1945,1946,1945
Where did the Industrial Revolution start?,MCQ,France,USA,England,Germany,England
Who discovered America?,MCQ,Magellan,Vasco da Gama,Columbus,Newton,Columbus
The Great Wall is located in which country?,MCQ,India,Japan,China,Korea,China
Who was known as the Iron Lady?,MCQ,Indira Gandhi,Margaret Thatcher,Hillary Clinton,Angela Merkel,Margaret Thatcher
What was the Roman name for France?,MCQ,Gaul,Hispania,Britannia,Germania,Gaul
In which country did the Renaissance start?,MCQ,France,Italy,Germany,Spain,Italy
Who wrote the Declaration of Independence?,MCQ,John Adams,George Washington,Thomas Jefferson,Ben Franklin,Thomas Jefferson
Who led India to independence in 1947?,MCQ,Jawaharlal Nehru,Mahatma Gandhi,Bose,Patel,Mahatma Gandhi
